id	pmc3	soc3	ozc3	pmc2	soc2	ozc2	pmc1	soc1	ozc1
15612	25.49916	.043573	.122121	22.6489	.043962	.111818	21.64324	.034925	.144304
13690	25.38806	.044643	.11321	21.85013	.044899	.110425	21.13686	.032918	.106751
15101	25.10685	.04374	.128839	23.52292	.035435	.107704	24.84278	.035733	.114877
14215	25.89696	.043858	.141521	21.91841	.029998	.13328	28.76199	.050539	.110143
16119	25.63379	.044481	.127128	21.79862	.033291	.143442	24.25174	.045773	.116993
16284	25.59942	.044414	.123728	22.04447	.044254	.118032	21.71382	.031075	.111929
14304	25.8933	.043814	.14053	21.91427	.030133	.1322	24.22756	.035892	.123818
14060	25.90572	.043827	.142979	21.73598	.043651	.142444	24.22147	.03344	.112617
16221	25.75278	.044169	.129931	21.90247	.043983	.126419	28.04742	.050188	.111585
15824	22.67103	.033103	.101561	22.82854	.043915	.109047	24.40261	.03513	.102453
13338	22.9659	.031505	.082905	26.18356	.039825	.096522	24.33466	.029719	.078212
13174	20.89442	.043288	.079921	24.89315	.033293	.080829	25.97169	.039326	.086277
12679	22.02972	.037354	.075318	21.51241	.035435	.090049	32.53267	.040292	.064922
13204	20.24477	.048405	.08131	20.84554	.037255	.092461	21.65516	.041183	.108572
16251	22.04837	.031942	.123542	21.90439	.044223	.121562	31.85462	.048481	.105373
12667	22.07696	.037334	.074375	24.5571	.033233	.067295	30.36974	.051205	.062762
15800	22.65939	.033099	.101478	24.45017	.035148	.10296	33.42822	.038424	.105441
13110	21.68927	.03976	.077032	21.49183	.047922	.066749	29.97341	.053361	.065821
12985	21.43585	.039657	.082	21.24629	.047702	.075944	24.62597	.054129	.110078
13251	20.24505	.047074	.080961	20.85205	.037808	.092015	25.32378	.067812	.111331
14410	21.88791	.030238	.137784	21.72036	.042978	.140156	24.00522	.035038	.12426
15009	22.32603	.033019	.102323	23.51068	.035531	.107128	25.34655	.047804	.122347
15600	22.4946	.033075	.102297	22.67855	.043928	.11139	22.13114	.033026	.104207
15401	22.20042	.032971	.102	22.49439	.04382	.114829	32.10061	.048408	.128085
12758	21.75206	.03836	.078572	21.46873	.037771	.117208	24.69377	.053908	.109708
14222	22.02875	.031267	.144206	21.93826	.029978	.134918	22.25185	.032486	.153053
14751	22.51824	.033295	.103559	22.52625	.044235	.110625	22.37872	.035003	.095808
13976	21.84109	.030798	.140678	24.30644	.032993	.11379	32.4457	.047664	.129521
14880	22.62894	.033147	.103779	22.74638	.044038	.110319	23.87944	.03516	.099793
13016	21.25681	.040195	.084274	22.22184	.041297	.089178	24.58105	.054037	.110449
12993	21.36399	.0394	.083832	24.03587	.03581	.078874	24.48671	.053664	.110353
13382	23.04082	.031195	.081617	22.26633	.042954	.077774	26.04374	.042646	.090846
15317	22.24534	.032865	.102733	22.45614	.032364	.101885	25.41991	.047354	.125747
15598	22.60384	.033135	.103808	25.85763	.043503	.118719	21.78726	.033167	.105337
16017	21.95783	.032379	.110886	21.41389	.031031	.109212	21.16868	.034007	.141492
15925	21.85988	.031841	.115275	21.37386	.030367	.112117	23.96185	.046215	.112754
14174	22.12789	.031222	.147971	21.93866	.029906	.135218	24.20423	.044678	.128383
16405	22.09484	.032056	.123097	23.53848	.034731	.106501	24.40914	.046077	.116509
15643	22.6008	.033112	.102862	23.41423	.035762	.105658	24.28647	.035245	.102256
14383	21.81341	.030684	.138985	21.73147	.043143	.144583	24.19111	.04375	.129274
15579	22.61382	.033125	.103277	23.39504	.035803	.105882	33.34114	.038495	.10428
15847	22.30886	.033017	.101626	23.52921	.035426	.107492	24.89583	.035487	.115305
15097	22.26244	.032935	.102701	22.51924	.043926	.114392	24.84565	.035729	.115009
16075	22.0114	.031864	.122515	23.43212	.034816	.106108	21.71472	.033422	.142772
15746	22.57706	.033095	.10219	23.44197	.0357	.105434	31.42478	.048336	.102106
13912	22.04559	.031831	.127288	21.73005	.030552	.117972	27.86655	.050449	.111828
16289	22.05667	.031969	.123366	23.508	.034767	.106423	21.78859	.033427	.143373
15962	22.07541	.03227	.115173	21.5435	.033769	.14227	31.65413	.048592	.098341
14814	22.49168	.03323	.10722	23.24904	.036064	.109134	26.25614	.047142	.122752
15393	22.19419	.032965	.102002	21.80614	.034511	.152283	25.50222	.047585	.12906
14243	21.90266	.030231	.138087	21.87134	.028772	.132637	24.2172	.043221	.126797
15443	22.20417	.032951	.101953	22.49665	.043769	.114897	21.81166	.034439	.15209
15558	22.52449	.0331	.103782	24.31082	.035399	.103038	31.44577	.0484	.098042
13304	23.02606	.032146	.074098	22.16656	.036026	.0891	33.05512	.039804	.063627
13892	22.08235	.031992	.124922	21.86874	.033374	.144004	24.13318	.036318	.11053
16373	22.02008	.031722	.127427	21.68729	.03039	.11819	24.26977	.045724	.117673
