	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
VARIABLES	fig3_panelA	fig3_panelB	fig3_panelC	fig3_panelD	text_1930_farm_low	text_1930_farm_med	text_1930_farm_high	text_1930_val_low	text_1930_val_med	text_1930_val_high	text_1930_val_tot	fig3_rev	text_ratio_pdv_h	text_ratio_pdv_m	text_ratio_pdv_hm	t2_landvalue_a	text_tot_cost	t2_landvalue_b	text_1930_farm_low	text_1930_farm_med	text_1930_farm_high	text_1930_val_low	text_1930_val_med	text_1930_val_high
																								
		(0.1027148728)	(0.2192836165)	(0.1924811320)								(0.303)				(0.231)								
control_cropland_f_1950		1.5703644051	2.0411393982	0.6965068311								1.556**				0.679**								
		(0.1027148728)	(0.2192836165)	(0.1924811320)								(0.277)				(0.221)								
control_cropland_f_1954		1.7007012355	2.2256608453	1.0415147641								1.330**				1.059**								
		(0.1027148728)	(0.2192836165)	(0.1924811320)								(0.364)				(0.241)								
control_cropland_f_1959		1.6358165877	2.1265925472	1.1120980453								1.692**				1.130**								
		(0.1027148728)	(0.2192836165)	(0.1924811320)								(0.367)				(0.284)								
control_cropland_f_1964		1.6541751173	2.2246372680	1.3166774782								1.574**				1.315**								
		(0.1027148728)	(0.2192836165)	(0.1924811320)								(0.354)				(0.286)								
control_cropland_f_1969		1.3557112601	1.7803007868	0.8821996371								1.990**				0.866**								
		(0.1027148728)	(0.2192836165)	(0.1924811320)								(0.464)				(0.235)								
o.control_cropland_f_1974		-	-	-								-				-								
																								
control_cropland_f_1978		0.9869591562	0.8336487038	0.0656165563								2.455**				0.064								
		(0.1027148728)	(0.2192836165)	(0.1924811320)								(0.505)				(0.281)								
control_cropland_f_1982		0.7671673041	0.7238318496	-0.0685635629								2.237**				-0.044								
		(0.1027148728)	(0.2192836165)	(0.1924811320)								(0.518)				(0.317)								
control_cropland_f_1987		0.2204950719	0.5694166636	-0.3444579075								2.726**				-0.342								
		(0.1027148728)	(0.2192836165)	(0.1924811320)								(0.543)				(0.349)								
control_cropland_f_1992		0.6281686077	0.7030803365	-0.2135845738								2.859**				-0.239								
		(0.1027148728)	(0.2192836165)	(0.1924811320)								(0.577)				(0.310)								
o.control_cropland_f_1997		-	-	-								-				-								
																								
control_population_a_1910		0.1068043453	0.4111092838	-0.0000000000																				
		(0.1665371410)	(0.8235171399)	(0.6582261786)																				
control_population_a_1920		-0.0282664501	-0.2409532085	-0.0000000000																				
		(0.1665371410)	(0.8235171399)	(0.6582261786)																				
control_population_a_1925		0.4452454822	1.9320202348	0.0000000000																				
		(0.1665371410)	(0.8235171399)	(0.6582261786)																				
control_population_a_1930		0.6428986529	3.2005403587	0.0000000000																				
		(0.1665371410)	(0.8235171399)	(0.6582261786)																				
control_population_a_1940		0.6874641532	3.0102468594	0.6430509743								-0.352				0.643								
