msa	msacode	year	quarter	index_msa
"Albany, GA"	10500	1992	2	92.21
"Albany, GA"	10500	1992	3	94.3
"Albany, GA"	10500	1992	4	95.12
"Albany, GA"	10500	1993	1	97.6
"Albany, GA"	10500	1993	2	95.9
"Albany, GA"	10500	1993	3	98.17
"Albany, GA"	10500	1993	4	97.52
"Albany, GA"	10500	1994	1	97.56
"Albany, GA"	10500	1994	2	96.92
"Albany, GA"	10500	1994	3	102.62
"Albany, GA"	10500	1994	4	100.8
"Albany, GA"	10500	1995	1	100
"Albany, GA"	10500	1995	2	101.41
"Albany, GA"	10500	1995	3	102.99
"Albany, GA"	10500	1995	4	104.53
"Albany, GA"	10500	1996	1	103.62
"Albany, GA"	10500	1996	2	106.62
"Albany, GA"	10500	1996	3	109.87
"Albany, GA"	10500	1996	4	109.07
"Albany, GA"	10500	1997	1	109.84
"Albany, GA"	10500	1997	2	111.69
"Albany, GA"	10500	1997	3	111.06
"Albany, GA"	10500	1997	4	114.39
"Albany, GA"	10500	1998	1	115.44
"Albany, GA"	10500	1998	2	113.88
"Albany, GA"	10500	1998	3	117.37
"Albany, GA"	10500	1998	4	116.17
"Albany, GA"	10500	1999	1	119.16
"Albany, GA"	10500	1999	2	117.65
"Albany, GA"	10500	1999	3	118.98
"Albany, GA"	10500	1999	4	121.01
"Albany, GA"	10500	2000	1	122.63
"Albany, GA"	10500	2000	2	122.02
"Albany, GA"	10500	2000	3	123.16
"Albany, GA"	10500	2000	4	122.71
"Albany, GA"	10500	2001	1	126.42
"Albany, GA"	10500	2001	2	127.24
"Albany, GA"	10500	2001	3	127.97
"Albany, GA"	10500	2001	4	128.72
"Albany, GA"	10500	2002	1	129.73
"Albany, GA"	10500	2002	2	131.22
"Albany, GA"	10500	2002	3	132.05
"Albany, GA"	10500	2002	4	133.85
"Albany, GA"	10500	2003	1	133.35
"Albany, GA"	10500	2003	2	136.62
"Albany, GA"	10500	2003	3	136.49
"Albany, GA"	10500	2003	4	141.01
"Albany, GA"	10500	2004	1	139.89
"Albany, GA"	10500	2004	2	140.79
"Albany, GA"	10500	2004	3	143.31
"Albany, GA"	10500	2004	4	144.87
"Albany, GA"	10500	2005	1	144.85
"Albany, GA"	10500	2005	2	150.92
"Albany, GA"	10500	2005	3	151.59
"Albany, GA"	10500	2005	4	157.44
"Albany, GA"	10500	2006	1	158.39
"Albany, GA"	10500	2006	2	159.84
"Albany, GA"	10500	2006	3	160.92
"Albany, GA"	10500	2006	4	164.31
"Albany, GA"	10500	2007	1	168.19
"Albany, GA"	10500	2007	2	168.9
"Albany, GA"	10500	2007	3	168.99
"Albany, GA"	10500	2007	4	171.32
"Albany-Schenectady-Troy, NY"	10580	1975	1	-
"Albany-Schenectady-Troy, NY"	10580	1975	2	-
"Albany-Schenectady-Troy, NY"	10580	1975	3	-
"Albany-Schenectady-Troy, NY"	10580	1975	4	-
"Albany-Schenectady-Troy, NY"	10580	1976	1	-
"Albany-Schenectady-Troy, NY"	10580	1976	2	-
"Albany-Schenectady-Troy, NY"	10580	1976	3	-
"Albany-Schenectady-Troy, NY"	10580	1976	4	-
"Albany-Schenectady-Troy, NY"	10580	1977	1	-
"Albany-Schenectady-Troy, NY"	10580	1977	2	-
"Albany-Schenectady-Troy, NY"	10580	1977	3	-
"Albany-Schenectady-Troy, NY"	10580	1977	4	-
"Albany-Schenectady-Troy, NY"	10580	1978	1	-
"Albany-Schenectady-Troy, NY"	10580	1978	2	-
"Albany-Schenectady-Troy, NY"	10580	1978	3	-
"Albany-Schenectady-Troy, NY"	10580	1978	4	-
"Albany-Schenectady-Troy, NY"	10580	1979	1	-
"Albany-Schenectady-Troy, NY"	10580	1979	2	-
"Albany-Schenectady-Troy, NY"	10580	1979	3	-
"Albany-Schenectady-Troy, NY"	10580	1979	4	-
"Albany-Schenectady-Troy, NY"	10580	1980	1	-
"Albany-Schenectady-Troy, NY"	10580	1980	2	40.68
"Albany-Schenectady-Troy, NY"	10580	1980	3	40.61
"Albany-Schenectady-Troy, NY"	10580	1980	4	39.72
"Albany-Schenectady-Troy, NY"	10580	1981	1	43.55
"Albany-Schenectady-Troy, NY"	10580	1981	2	39.43
"Albany-Schenectady-Troy, NY"	10580	1981	3	44.61
"Albany-Schenectady-Troy, NY"	10580	1981	4	-
"Albany-Schenectady-Troy, NY"	10580	1982	1	43.77
"Albany-Schenectady-Troy, NY"	10580	1982	2	43.78
"Albany-Schenectady-Troy, NY"	10580	1982	3	46.98
"Albany-Schenectady-Troy, NY"	10580	1982	4	43.13
"Albany-Schenectady-Troy, NY"	10580	1983	1	44.54
"Albany-Schenectady-Troy, NY"	10580	1983	2	45.4
"Albany-Schenectady-Troy, NY"	10580	1983	3	50.25
"Albany-Schenectady-Troy, NY"	10580	1983	4	49.12
"Albany-Schenectady-Troy, NY"	10580	1984	1	52.92
"Albany-Schenectady-Troy, NY"	10580	1984	2	53.09
"Albany-Schenectady-Troy, NY"	10580	1984	3	53.53
"Albany-Schenectady-Troy, NY"	10580	1984	4	56.38
"Albany-Schenectady-Troy, NY"	10580	1985	1	56.98
"Albany-Schenectady-Troy, NY"	10580	1985	2	60.63
"Albany-Schenectady-Troy, NY"	10580	1985	3	63.37
"Albany-Schenectady-Troy, NY"	10580	1985	4	61.47
"Albany-Schenectady-Troy, NY"	10580	1986	1	67.21
"Albany-Schenectady-Troy, NY"	10580	1986	2	69.55
"Albany-Schenectady-Troy, NY"	10580	1986	3	72.79
"Albany-Schenectady-Troy, NY"	10580	1986	4	78.1
