STATE	NDMTCODE	NAME	COUNTY	STATEABL	DUSTBOWA	PCPUBWOR	PCAAA	PCRELIEF	PCNDLOAN	PCNDINS	POP30T
32	90	BARTON	90	KS	0	5.587833738	34.78070388	4.294194984	7.45163835	8.932817557	19.776
32	110	BOURBON	110	KS	0	7.897376336	3.669141428	13.21265523	5.788439203	1.554426874	22.386
32	130	BROWN	130	KS	0	4.269165896	11.93479297	8.086410743	10.01752867	0.954079696	20.553
32	150	BUTLER	150	KS	0	3.806934232	4.016048351	5.828222482	6.408767825	2.378347816	35.904
32	170	CHASE	170	KS	0	15.7626822	8.921087457	7.514192558	12.52970848	1.134579977	6.952
32	190	CHAUTAUQUA	190	KS	0	3.264248454	3.863852396	11.30844281	7.128297269	0.313234158	10.352
32	210	CHEROKEE/MCGHEE	210	KS	0	4.236184845	3.557624694	23.79798349	2.834260525	0.663731443	31.457
32	230	CHEYENNE	230	KS	0	7.272908271	46.97829591	8.798503166	17.47067741	0.38675878	6.948
32	250	CLARK	250	KS	1	16.13910898	77.99074229	13.10915346	20.76494301	1.446246872	4.796
32	270	CLAY	270	KS	0	6.502679308	18.20167628	8.23588211	13.52290922	0.437043144	14.556
32	290	CLOUD	290	KS	0	5.785080899	17.24768411	9.134010885	7.879351327	0.927513051	18.006
32	310	COFFEY	310	KS	0	12.80922386	8.240767597	3.364071388	8.506174467	0.31598916	13.653
32	330	COMANCHE	330	KS	0	6.669371261	60.67808324	13.3512473	16.43128421	0.429400535	5.238
32	350	COWLEY	350	KS	0	5.633343928	3.817563504	8.819373477	6.95341336	1.613558908	40.903
32	370	CRAWFORD	370	KS	0	3.087598911	2.409394068	23.49331698	3.498766784	0.593504835	49.329
32	390	DECATUR	390	KS	0	8.286562899	43.50178209	11.24625912	22.21457252	0.234716896	8.866
32	410	DICKINSON	410	KS	0	3.7175364	15.54674913	7.472986729	6.001010179	1.335028991	25.87
32	430	DONIPHAN	430	KS	0	5.325890635	10.50131551	3.799497499	11.23631278	0.475901301	14.063
32	450	DOUGLAS	450	KS	0	7.744839518	4.809091994	6.648517149	4.800440149	3.979119437	25.143
32	470	EDWARDS	470	KS	0	7.343271647	64.38823852	11.99812657	16.95968928	1.214612748	7.295
32	490	ELK	490	KS	0	1.811961636	5.398241042	8.964603692	5.844922186	0.471074919	9.21
32	510	ELLIS	510	KS	0	3.997202489	33.09143145	10.25157687	12.1388152	2.704130257	15.907
32	530	ELLSWORTH	530	KS	0	11.65375378	25.28586656	7.63804448	8.693288591	1.716699566	10.132
32	550	FINNEY	550	KS	1	7.450926094	53.17563102	8.18084559	23.21650021	3.191120392	11.014
32	570	FORD	570	KS	1	2.330927818	43.87433525	11.960979	19.46908833	1.063428101	20.647
32	590	FRANKLIN	590	KS	0	4.330291197	6.990501271	5.227963434	5.764438794	0.501471122	22.024
32	610	GEARY	610	KS	0	23.33898325	7.117778087	22.80992157	9.40577289	3.039774467	14.366
32	630	GOVE	630	KS	0	4.270187253	64.85628212	6.902445508	22.84959537	0.084635832	5.643
32	650	GRAHAM	650	KS	0	6.503474009	41.02398353	14.9524361	32.27443815	0.098764797	7.772
32	670	GRANT	670	KS	1	8.3262721	137.4670116	8.019189306	27.72194912	0.320375162	3.092
32	690	GRAY	690	KS	1	10.76015671	114.6159395	10.1998873	35.96824988	0.34242473	6.211
32	710	GREELEY	710	KS	0	7.784267913	130.9625	17.04244548	38.22281931	0.906542056	1.712
32	730	GREENWOOD	730	KS	0	7.551208734	4.541450481	8.948011437	8.558551252	1.295690148	19.235
32	750	HAMILTON	750	KS	1	14.48417468	70.38076923	13.84074519	23.69695513	0.992848558	3.328
32	770	HARPER	770	KS	0	6.154669994	30.43877408	5.65556682	9.778533365	1.209155424	12.823
32	790	HARVEY	790	KS	0	3.254822182	9.512594937	3.270735383	4.220114527	1.644593128	22.12
32	810	HASKELL	810	KS	1	4.03083779	187.2200357	11.59518717	40.50842543	0.15942959	2.805
32	830	HODGEMAN	830	KS	1	14.46688317	106.9567958	14.71429717	32.9872825	1.357613664	4.157
32	850	JACKSON	850	KS	0	2.718360855	12.84819978	8.924618751	11.1056488	0.693719545	14.776
32	870	JEFFERSON	870	KS	0	6.330254559	13.61937858	6.841460825	9.190129049	0.358341001	14.129
32	890	JEWELL	890	KS	0	3.399933158	20.78535472	9.331028442	14.00611257	0.248969714	14.462
32	910	JOHNSON	910	KS	0	5.282460723	4.288789139	8.432913892	5.875217386	29.74763604	27.179
32	930	KEARNY	930	KS	1	12.16171256	69.87209011	12.728932	20.03233208	0.319899875	3.196
32	950	KINGMAN	950	KS	0	4.242047856	35.23315059	5.887970419	9.612483582	1.668596882	11.674
32	970	KIOWA	970	KS	0	4.531952499	69.53537697	11.2385805	15.08283899	1.008682684	6.035
32	990	LABETTE	990	KS	0	5.118404262	3.518937025	17.9163317	3.842340331	2.190314554	31.346
32	1010	LANE	1010	KS	0	11.62529656	108.2712337	9.932730328	33.00027679	1.137781732	3.372
32	1030	LEAVENWORTH	1030	KS	0	11.12341137	2.565477	9.867254079	2.958576461	0.955681579	42.673
32	1050	LINCOLN	1050	KS	0	2.098193743	29.21761615	10.12700457	12.09490059	0.120861234	9.707
32	1070	LINN	1070	KS	0	1.199879316	8.58443919	10.5942195	4.922585094	0.086079503	13.534
32	1090	LOGAN	1090	KS	0	8.130156815	36.76386007	13.30643345	30.32231604	1.52694813	4.145
32	1110	LYON	1110	KS	0	4.77253762	5.503324213	7.18498062	9.286684907	2.323474692	29.24
32	1130	MCPHERSON	1130	KS	0	6.375416879	17.72206207	2.181250353	4.62804816	2.881083602	23.588
32	1150	MARION	1150	KS	0	7.174566437	12.79236222	5.872446437	5.686413681	0.431698732	20.739
32	1170	MARSHALL	1170	KS	0	3.993486873	11.60086745	9.833752602	12.58294009	0.948082929	23.056
32	1190	MEADE	1190	KS	1	7.170117624	76.43461651	11.1196656	29.83793137	0.537941091	6.858
32	1210	MIAMI/LYKINS	1210	KS	0	6.955522604	7.227660877	7.392505767	4.530628128	0.755919597	21.243
32	1230	MITCHELL	1230	KS	0	4.150383592	29.7231251	8.606361881	10.35339492	0.530092375	12.774
32	1250	MONTGOMERY	1250	KS	0	5.558058262	1.616689035	13.75390805	5.22705517	2.970119235	51.411
32	1270	MORRIS	1270	KS	0	2.13660511	13.76401046	7.514278888	12.25316356	1.374078759	11.859
32	1290	MORTON	1290	KS	1	7.011811665	68.83587488	13.22210003	22.10700554	0.16026393	4.092
32	1310	NEMAHA	1310	KS	0	5.231581434	15.6958456	4.93087813	11.44965653	0.230607349	18.342
32	1330	NEOSHO/DORN	1330	KS	0	6.378476359	4.396779175	10.28632252	5.267840282	1.556143834	22.665
32	1350	NESS	1350	KS	0	2.256779931	69.27339076	7.955711095	23.29365877	0.966235942	8.358
32	1370	NORTON	1370	KS	0	13.28188474	25.91421246	11.51532633	15.87056377	0.689787198	11.701
32	1390	OSAGE	1390	KS	0	8.471804083	9.808826548	5.230765576	8.119762801	0.354453187	17.538
32	1410	OSBORNE	1410	KS	0	4.087324228	31.32883817	8.674806939	11.66184878	0.886635546	11.568
32	1430	OTTAWA	1430	KS	0	3.18956445	29.74879316	11.82413348	9.947367349	0.558753437	9.819
32	1450	PAWNEE	1450	KS	0	9.562115446	60.81019981	5.20182366	11.96402157	1.540418649	10.51
32	1470	PHILLIPS	1470	KS	0	5.309784248	20.29795213	11.343463	12.90216849	0.219886504	12.159
32	1490	POTTAWATOMIE	1490	KS	0	4.409080402	11.42415837	7.95654184	11.52894549	0.160736351	15.862
32	1510	PRATT	1510	KS	0	4.30485026	40.9886869	6.285419171	11.65944511	2.56781851	13.312
32	1530	RAWLINS	1530	KS	0	10.62166078	63.48033143	8.883161279	15.74608349	0.516571584	7.362
32	1550	RENO	1550	KS	0	4.223089533	15.27144501	7.595940149	7.818422797	4.773326358	47.785
32	1570	REPUBLIC	1570	KS	0	6.31294224	16.17288572	7.299886967	10.71916808	0.998494405	14.745
32	1590	RICE	1590	KS	0	2.530869565	28.36994203	4.304915459	8.057400966	1.721710145	13.8
32	1610	RILEY	1610	KS	0	7.679148644	5.802434363	7.675041076	7.796767595	4.008409617	19.882
32	1630	ROOKS	1630	KS	0	3.941717362	34.80287392	13.78235788	17.24721348	0.479022446	9.534
32	1650	RUSH	1650	KS	0	4.709501815	69.33621467	7.905256791	15.4805968	0.694094358	9.093
32	1670	RUSSELL	1670	KS	0	12.56210955	43.4156632	8.116447865	9.636191338	3.332784065	11.045
32	1690	SALINE	1690	KS	0	5.763245503	11.32184613	8.78245333	9.097399189	9.94145959	29.337
32	1710	SCOTT	1710	KS	0	5.477825285	57.13360161	11.02871395	17.95405768	2.498541247	3.976
32	1730	SEDGWICK	1730	KS	0	3.739255239	3.133699112	12.447764	8.132122546	7.17426832	136.33
32	1750	SEWARD	1750	KS	1	7.39504644	41.3425387	16.50536636	21.01656966	0.729882353	8.075
