wgname,month,ttlmsgs,intlmsgs,msgcom,msgnet,msgorg,msgedu,msggov,msgcctld,msgoth,usrcom,usrnet,usrorg,usredu,usrgov,usrcctld,usroth,aflcom,aflnet,aflorg,afledu,aflgov,aflcctld,afloth
"idmr","Dec1992","3","","","","","","","","3","","","","","","","3","","","","","","","1"
"idmr","Jan1993","1","","","","","","","","1","","","","","","","1","","","","","","","1"
"idmr","Mar1993","13","","","","","","","","13","","","","","","","5","","","","","","","1"
"idmr","Jun1993","57","","","","","","","","57","","","","","","","8","","","","","","","1"
"idmr","Jul1993","16","","","","","","","","16","","","","","","","8","","","","","","","1"
"idmr","Aug1993","35","","","","","","","","35","","","","","","","7","","","","","","","1"
"idmr","Sep1993","8","","","","","","","","8","","","","","","","4","","","","","","","1"
"idmr","Oct1993","38","7","","","","","","7","31","","","","","","1","10","","","","","","1","1"
"idmr","Nov1993","13","3","","","","","","3","10","","","","","","1","3","","","","","","1","1"
"idmr","Jan1994","7","","","","","","","","7","","","","","","","4","","","","","","","1"
"idmr","Mar1994","5","","","","","","","","5","","","","","","","3","","","","","","","1"
"idmr","Aug1994","3","","3","","","","","","","2","","","","","","","2","","","","","",""
"idmr","Oct1994","6","2","1","","","5","","","","1","","","4","","","","1","","","4","","",""
"idmr","Nov1994","23","13","4","3","","15","1","","","2","1","","4","1","","","2","1","","3","1","",""
"idmr","Jan1995","11","9","1","","","9","1","","","1","","","3","1","","","1","","","2","1","",""
"idmr","Feb1995","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"idmr","Mar1995","4","2","1","","","3","","","","1","","","2","","","","1","","","2","","",""
"idmr","Apr1995","23","6","7","3","","12","1","","","4","1","","7","1","","","3","1","","4","1","",""
"idmr","May1995","2","1","1","","","1","","","","1","","","1","","","","1","","","1","","",""
"idmr","Jun1995","1","1","","","","1","","","","","","","1","","","","","","","1","","",""
"idmr","Jul1995","4","3","","","","3","1","","","","","","2","1","","","","","","2","1","",""
"idmr","Oct1995","15","5","6","","","7","2","","","5","","","3","2","","","3","","","2","2","",""
"idmr","Nov1995","12","8","3","","","7","1","1","","3","","","4","1","1","","3","","","2","1","1",""
"idmr","Dec1995","11","2","4","","","7","","","","1","","","2","","","","1","","","2","","",""
"idmr","Jan1996","14","6","2","","","7","5","","","1","","","4","1","","","1","","","2","1","",""
"idmr","Feb1996","25","12","6","1","","16","1","1","","6","1","","8","1","1","","5","1","","7","1","1",""
"idmr","Mar1996","14","2","10","","","3","","1","","6","","","2","","1","","5","","","2","","1",""
"idmr","Apr1996","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"idmr","Jun1996","10","2","7","","","3","","","","5","","","3","","","","5","","","2","","",""
"idmr","Jul1996","4","","2","","","2","","","","1","","","1","","","","1","","","1","","",""
"idmr","Sep1996","7","","4","","","3","","","","2","","","2","","","","2","","","2","","",""
"idmr","Oct1996","49","8","27","","2","20","","","","9","","2","5","","","","7","","2","3","","",""
"idmr","Jun1999","23","6","16","1","","6","","","","7","1","","4","","","","5","1","","3","","",""
"idmr","Jul1999","4","2","4","","","","","","","3","","","","","","","3","","","","","",""
"idmr","Aug1999","14","","13","","","1","","","","7","","","1","","","","7","","","1","","",""
"idmr","Sep1999","1","1","","","","","","1","","","","","","","1","","","","","","","1",""
"idmr","Oct1999","7","1","3","1","2","1","","","","3","1","1","1","","","","3","1","1","1","","",""
"idmr","Nov1999","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"idmr","Dec1999","7","","6","1","","","","","","5","1","","","","","","5","1","","","","",""
"idmr","Jan2000","2","","1","1","","","","","","1","1","","","","","","1","1","","","","",""
"idmr","Feb2000","13","1","8","3","","2","","","","7","1","","2","","","","6","1","","2","","",""
"idmr","Mar2000","4","1","3","","","","","1","","3","","","","","1","","3","","","","","1",""
"idmr","Apr2000","5","1","4","","","","","1","","4","","","","","1","","4","","","","","1",""
"idmr","May2000","13","","13","","","","","","","7","","","","","","","6","","","","","",""
"idmr","Jun2000","15","1","12","2","","","","1","","7","2","","","","1","","5","2","","","","1",""
"idmr","Jul2000","60","6","45","5","3","4","","3","","14","2","2","2","","2","","8","2","2","2","","2",""
"idmr","Aug2000","9","3","7","","","","","2","","4","","","","","1","","3","","","","","1",""
"idmr","Sep2000","10","2","8","","","2","","","","6","","","2","","","","6","","","2","","",""
"idmr","Oct2000","5","","5","","","","","","","5","","","","","","","4","","","","","",""
"idmr","Nov2000","19","5","12","1","1","4","","1","","8","1","1","4","","1","","7","1","1","4","","1",""
"idmr","Dec2000","4","2","2","","","","","2","","2","","","","","1","","2","","","","","1",""
"idmr","Jan2001","18","6","9","1","1","2","","5","","5","1","1","2","","2","","5","1","1","2","","2",""
"idmr","Feb2001","7","3","4","","","","","3","","4","","","","","2","","3","","","","","2",""
"idmr","Mar2001","47","24","22","5","","15","","5","","14","3","","6","","3","","12","3","","6","","3",""
"idmr","Apr2001","19","2","18","","","","","1","","8","","","","","1","","8","","","","","1",""
"idmr","May2001","7","3","4","1","","","","2","","4","1","","","","1","","4","1","","","","1",""
"idmr","Jun2001","17","3","12","1","","1","","3","","8","1","","1","","2","","7","1","","1","","2",""
"idmr","Jul2001","10","1","8","1","","","","1","","6","1","","","","1","","4","1","","","","1",""
"idmr","Aug2001","15","3","13","","","1","","1","","7","","","1","","1","","4","","","1","","1",""
"idmr","Sep2001","9","2","6","1","","1","","1","","4","1","","1","","1","","4","1","","1","","1",""
"idmr","Oct2001","2","","2","","","","","","","2","","","","","","","2","","","","","",""
"idmr","Nov2001","6","1","5","","","1","","","","5","","","1","","","","3","","","1","","",""
"idmr","Jan2002","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"idmr","Feb2002","7","","4","1","1","1","","","","2","1","1","1","","","","2","1","1","1","","",""
"idmr","Mar2002","5","1","3","","","1","","1","","2","","","1","","1","","2","","","1","","1",""
"idmr","Apr2002","2","","1","","1","","","","","1","","1","","","","","1","","1","","","",""
"idmr","May2002","5","2","3","","","1","","1","","3","","","1","","1","","2","","","1","","1",""
"idmr","Jun2002","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"idmr","Oct2002","4","","4","","","","","","","2","","","","","","","2","","","","","",""
"idmr","Nov2002","1","","","1","","","","","","","1","","","","","","","1","","","","",""
"idmr","Oct2003","1","","1","","","","","","","1","","","","","","","1","","","","","",""
