wgname,month,ttlmsgs,intlmsgs,msgcom,msgnet,msgorg,msgedu,msggov,msgcctld,msgoth,usrcom,usrnet,usrorg,usredu,usrgov,usrcctld,usroth,aflcom,aflnet,aflorg,afledu,aflgov,aflcctld,afloth
"ipsec","Sep2002","98","13","72","6","5","9","3","3","","39","4","2","7","1","3","","29","4","2","6","1","3",""
"ipsec","Oct2002","66","10","46","1","9","5","1","4","","28","1","2","2","1","4","","23","1","2","2","1","4",""
"ipsec","Nov2002","29","8","17","","3","4","2","3","","11","","1","4","1","3","","8","","1","4","1","3",""
"ipsec","Jan2003","114","25","64","8","10","16","13","3","","23","4","3","6","1","3","","18","4","3","6","1","3",""
"ipsec","Feb2003","314","62","224","8","14","37","17","14","","56","4","4","9","1","5","","39","4","4","7","1","4",""
"ipsec","Mar2003","356","120","225","21","13","60","18","19","","46","10","4","6","1","5","","37","10","4","4","1","4",""
"ipsec","Jan2004","3","","3","","","","","","","1","","","","","","","1","","","","","",""
"ipsec","Feb2004","2","","2","","","","","","","1","","","","","","","1","","","","","",""
"ipsec","Mar2004","2","","2","","","","","","","2","","","","","","","2","","","","","",""
"ipsec","May2004","136","25","83","4","14","15","2","18","","31","4","3","4","1","2","","25","4","3","3","1","2",""
"ipsec","Jun2004","129","29","90","3","1","13","3","19","","34","2","1","6","2","3","","27","2","1","5","2","3",""
"ipsec","Jul2004","99","21","64","1","4","20","1","9","","33","1","2","9","1","1","","26","1","2","9","1","1",""
"ipsec","Aug2004","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"ipsp","Jun1999","4","","4","","","","","","","2","","","","","","","1","","","","","",""
"ipsp","Jul1999","5","","5","","","","","","","1","","","","","","","1","","","","","",""
"ipsp","Oct1999","3","","2","","1","","","","","1","","1","","","","","1","","1","","","",""
"ipsp","Nov1999","9","1","5","","","3","1","","","3","","","1","1","","","3","","","1","1","",""
"ipsp","Jan2000","2","","2","","","","","","","2","","","","","","","2","","","","","",""
"ipsp","Feb2000","25","1","25","","","","","","","12","","","","","","","12","","","","","",""
"ipsp","Mar2000","7","1","5","","","1","","1","","4","","","1","","1","","3","","","1","","1",""
"ipsp","Apr2000","3","","2","1","","","","","","2","1","","","","","","2","1","","","","",""
"ipsp","May2000","36","3","27","","","6","3","","","11","","","1","1","","","11","","","1","1","",""
"ipsp","Jun2000","3","","1","1","","","1","","","1","1","","","1","","","1","1","","","1","",""
"ipsp","Jul2000","36","","27","1","","7","1","","","8","1","","1","1","","","6","1","","1","1","",""
"ipsp","Aug2000","118","2","85","5","1","26","","1","","25","2","1","1","","1","","19","2","1","1","","1",""
"ipsp","Sep2000","6","1","5","","","","","1","","4","","","","","1","","3","","","","","1",""
"ipsp","Oct2000","2","1","2","","","","","","","2","","","","","","","2","","","","","",""
"ipsp","Nov2000","4","2","2","","","","","2","","2","","","","","2","","2","","","","","2",""
"ipsp","Dec2000","36","3","34","","","1","","1","","15","","","1","","1","","13","","","1","","1",""
"ipsp","Jan2001","29","","28","","1","","","","","11","","1","","","","","11","","1","","","",""
"ipsp","Feb2001","61","2","53","7","","","","1","","15","1","","","","1","","15","1","","","","1",""
"ipsp","Mar2001","28","4","21","3","1","","2","1","","12","1","1","","2","1","","11","1","1","","1","1",""
"ipsp","Apr2001","39","2","31","6","","","","2","","13","1","","","","2","","12","1","","","","2",""
"ipsp","May2001","33","5","24","5","2","","","2","","11","1","2","","","1","","11","1","2","","","1",""
"ipsp","Jun2001","15","1","15","","","","","","","9","","","","","","","9","","","","","",""
"ipsp","Jul2001","9","1","7","2","","","","","","5","1","","","","","","5","1","","","","",""
"ipsp","Aug2001","31","2","22","5","2","1","","","1","12","3","2","1","","","1","10","3","2","1","","","1"
"ipsp","Sep2001","10","2","8","","","","","2","","7","","","","","1","","7","","","","","1",""
"ipsp","Oct2001","3","","3","","","","","","","3","","","","","","","3","","","","","",""
"ipsp","Nov2001","9","","7","2","","","","","","6","1","","","","","","6","1","","","","",""
"ipsp","Dec2001","16","3","12","1","","","2","1","","6","1","","","1","1","","6","1","","","1","1",""
"ipsp","Jan2002","21","3","17","","1","","2","1","","14","","1","","1","1","","12","","1","","1","1",""
"ipsp","Feb2002","11","","11","","","","","","","4","","","","","","","4","","","","","",""
"ipsp","Mar2002","25","2","21","2","","2","","","","14","1","","1","","","","11","1","","1","","",""
"ipsp","Apr2002","11","","9","1","1","","","","","6","1","1","","","","","5","1","1","","","",""
"ipsp","May2002","6","1","4","2","","","","","","4","1","","","","","","3","1","","","","",""
"ipsp","Jun2002","6","1","4","2","","","","","","4","1","","","","","","4","1","","","","",""
"ipsp","Aug2002","4","","","","3","1","","","","","","2","1","","","","","","1","1","","",""
"ipsp","Sep2002","1","1","1","","","","","","","1","","","","","","","1","","","","","",""
"ipsp","Oct2002","5","","1","","3","1","","","","1","","1","1","","","","1","","1","1","","",""
"ipsp","Nov2002","8","4","3","","1","1","2","1","","3","","1","1","1","1","","3","","1","1","1","1",""
"ipsp","Dec2002","2","","1","","1","","","","","1","","1","","","","","1","","1","","","",""
"ipsp","Feb2003","2","","2","","","","","","","1","","","","","","","1","","","","","",""
"ipsp","Mar2003","2","","2","","","","","","","2","","","","","","","2","","","","","",""
"ipsp","Apr2003","8","","2","","1","5","","","","2","","1","1","","","","2","","1","1","","",""
"ipsp","May2003","1","","1","","","","","","","1","","","","","","","1","","","","","",""
"ipsp","Jun2003","6","1","5","","","","1","","","4","","","","1","","","4","","","","1","",""
"ipsp","Jul2003","19","8","9","","1","2","7","","","4","","1","2","1","","","4","","1","2","1","",""
"ipsp","Aug2003","9","1","5","","2","1","1","","","3","","1","1","1","","","3","","1","1","1","",""
"ipsp","Oct2003","2","","1","","1","","","","","1","","1","","","","","1","","1","","","",""
"ipsp","Nov2003","6","","6","","","","","","","5","","","","","","","4","","","","","",""
"ipsp","Jan2004","4","","2","1","1","","","","","2","1","1","","","","","2","1","1","","","",""
"ipsp","Feb2004","1","1","1","","","","","","","1","","","","","","","1","","","","","",""
"ipsp","Mar2004","7","","7","","","","","","","3","","","","","","","3","","","","","",""
"ipsp","Apr2004","16","5","10","","2","","","4","","4","","2","","","1","","4","","2","","","1",""
"ipsp","May2004","4","3","2","","","","1","1","","2","","","","1","1","","2","","","","1","1",""
"ipsp","Jun2004","1","1","","","","","","1","","","","","","","1","","","","","","","1",""
"ipsp","Jul2004","1","1","1","","","","","","","1","","","","","","","1","","","","","",""
"ipsra","Mar1999","5","1","2","","2","","1","","","2","","1","","1","","","2","","1","","1","",""
"ipsra","Apr1999","2","1","1","","","","1","","","1","","","","1","","","1","","","","1","",""
"ipsra","May1999","11","","11","","","","","","","3","","","","","","","3","","","","","",""
"ipsra","Jun1999","27","1","26","1","","","","","","11","1","","","","","","10","1","","","","",""
"ipsra","Jul1999","53","","48","4","","","1","","","18","2","","","1","","","16","2","","","1","",""
"ipsra","Aug1999","21","1","20","","1","","","","","12","","1","","","","","10","","1","","","",""
"ipsra","Sep1999","17","1","13","","3","","1","","","7","","1","","1","","","7","","1","","1","",""
"ipsra","Oct1999","110","3","104","1","3","2","","","","30","1","1","2","","","","24","1","1","2","","",""
"ipsra","Nov1999","96","12","85","4","1","","6","","","22","2","1","","1","","","16","2","1","","1","",""
"ipsra","Dec1999","10","","8","2","","","","","","5","1","","","","","","5","1","","","","",""
"ipsra","Feb2000","116","1","112","","4","","","","","25","","2","","","","","19","","2","","","",""
"ipsra","Mar2000","28","1","23","1","3","1","","","","11","1","1","1","","","","10","1","1","1","","",""
"ipsra","Apr2000","34","1","29","2","1","","","1","1","14","1","1","","","1","1","13","1","1","","","1","1"
"ipsra","May2000","69","2","67","1","","","","","1","25","1","","","","","1","20","1","","","","","1"
"ipsra","Jun2000","132","11","117","5","","10","","","","25","4","","1","","","","18","4","","1","","",""
"ipsra","Jul2000","14","","12","1","1","","","","","9","1","1","","","","","7","1","1","","","",""
"ipsra","Aug2000","49","6","40","","6","2","","1","","24","","1","1","","1","","23","","1","1","","1",""
"ipsra","Sep2000","6","3","5","","","","","1","","4","","","","","1","","4","","","","","1",""
"ipsra","Oct2000","41","2","35","","4","1","","1","","19","","1","1","","1","","15","","1","1","","1",""
"ipsra","Nov2000","19","3","14","","3","","","2","","11","","1","","","2","","11","","1","","","2",""
"ipsra","Dec2000","25","6","20","1","2","1","","1","","10","1","2","1","","1","","10","1","2","1","","1",""
"ipsra","Jan2001","9","1","5","","3","","","1","","5","","1","","","1","","5","","1","","","1",""
"ipsra","Feb2001","38","3","37","","","1","","","","19","","","1","","","","15","","","1","","",""
"ipsra","Mar2001","11","1","5","4","1","","","1","","5","2","1","","","1","","5","2","1","","","1",""
"ipsra","Apr2001","30","2","23","1","4","1","","1","","18","1","1","1","","1","","16","1","1","1","","1",""
"ipsra","May2001","49","4","40","4","5","","","","","19","3","2","","","","","13","3","1","","","",""
"ipsra","Jul2001","48","4","35","5","5","3","","","","13","3","1","1","","","","11","3","1","1","","",""
"ipsra","Aug2001","51","1","30","10","7","3","","","1","15","3","4","2","","","1","13","3","3","2","","","1"
"ipsra","Sep2001","2","","1","","1","","","","","1","","1","","","","","1","","1","","","",""
"ipsra","Oct2001","21","4","16","2","1","2","","","","8","1","1","1","","","","7","1","1","1","","",""
"ipsra","Nov2001","18","2","11","2","4","1","","","","7","1","1","1","","","","7","1","1","1","","",""
"ipsra","Dec2001","6","","5","","1","","","","","5","","1","","","","","5","","1","","","",""
"ipsra","Jan2002","2","","1","","1","","","","","1","","1","","","","","1","","1","","","",""
"ipsra","Apr2002","1","","","","1","","","","","","","1","","","","","","","1","","","",""
"ipsra","May2002","2","1","2","","","","","","","2","","","","","","","2","","","","","",""
"ipsra","Jun2002","2","","2","","","","","","","2","","","","","","","2","","","","","",""
"ipsra","Aug2002","4","","","","3","1","","","","","","2","1","","","","","","1","1","","",""
"ipsra","Dec2002","1","","","","1","","","","","","","1","","","","","","","1","","","",""
"ipsra","Jan2003","2","","","","2","","","","","","","1","","","","","","","1","","","",""
"ipsra","Apr2003","1","","","","1","","","","","","","1","","","","","","","1","","","",""
"ipsra","May2003","5","1","2","","2","","","1","","2","","1","","","1","","2","","1","","","1",""
"ipsra","Jul2003","1","","","","1","","","","","","","1","","","","","","","1","","","",""
"ipsra","Oct2003","1","","","","1","","","","","","","1","","","","","","","1","","","",""
"ipsra","May2004","2","2","","","","2","","","","","","","1","","","","","","","1","","",""
"ipsra","Jul2004","1","1","","","","1","","","","","","","1","","","","","","","1","","",""
"iptel","Jul1997","2","2","2","","","","","","","1","","","","","","","1","","","","","",""
"iptel","Sep1998","47","13","37","3","","6","","1","","18","1","","4","","1","","15","1","","4","","1",""
"iptel","Oct1998","10","3","8","","","","","2","","7","","","","","1","","7","","","","","1",""
"iptel","Nov1998","52","9","40","1","","8","","3","","26","1","","5","","3","","23","1","","3","","3",""
"iptel","Dec1998","41","6","33","4","","4","","","","19","2","","3","","","","17","2","","2","","",""
"iptel","Jan1999","105","19","85","5","","10","","2","3","38","5","","4","","2","1","28","4","","4","","2","1"
"iptel","Feb1999","82","19","70","","","6","","6","","33","","","3","","5","","25","","","3","","5",""
"iptel","Mar1999","236","24","223","5","","8","","","","57","3","","4","","","","37","3","","4","","",""
"iptel","Apr1999","70","16","57","4","","6","","2","1","31","4","","4","","2","1","23","4","","4","","2","1"
"iptel","May1999","33","7","23","","","7","","1","2","9","","","3","","1","2","9","","","3","","1","1"
"iptel","Jun1999","68","18","55","4","","7","","1","1","32","3","","3","","1","1","25","3","","3","","1","1"
"iptel","Jul1999","34","12","29","","","4","","","1","25","","","4","","","1","18","","","4","","","1"
"iptel","Aug1999","15","8","12","1","","1","","1","","10","1","","1","","1","","9","1","","1","","1",""
"iptel","Sep1999","44","6","40","1","1","2","","","","29","1","1","2","","","","18","1","1","2","","",""
"iptel","Oct1999","20","5","14","","","2","","3","1","9","","","2","","1","1","8","","","2","","1","1"
"iptel","Nov1999","72","12","58","3","3","6","","2","","26","2","1","5","","2","","22","2","1","5","","2",""
"iptel","Dec1999","49","2","44","2","","2","","","1","16","2","","2","","","1","14","2","","1","","","1"
"iptel","Jan2000","8","2","6","","","1","","1","","5","","","1","","1","","5","","","1","","1",""
"iptel","Feb2000","16","5","11","","","5","","","","7","","","4","","","","7","","","2","","",""
"iptel","Mar2000","18","7","11","1","","6","","","","9","1","","3","","","","8","1","","3","","",""
"iptel","Apr2000","29","13","18","2","1","8","","","","13","2","1","2","","","","13","2","1","2","","",""
"iptel","May2000","99","16","83","2","2","4","","8","","26","2","1","4","","4","","24","2","1","3","","4",""
"iptel","Jun2000","59","18","41","3","","14","","","1","26","2","","4","","","1","21","2","","4","","","1"
"iptel","Jul2000","48","3","27","3","","16","","2","","13","1","","3","","1","","13","1","","2","","1",""
"iptel","Aug2000","72","8","61","5","","6","","","","19","1","","3","","","","16","1","","2","","",""
"iptel","Sep2000","45","5","23","5","","16","","1","","9","1","","3","","1","","9","1","","2","","1",""
